,Created At,Text,Location,Address,Longitude,Latitude
222,Thu Mar 05 17:49:59 +0000 2020," RT @ imNRK17 : Indigo , airindia etc banning Coronavirus 6 months ... . ? Is Corona supporting CAA NRC ?",India,India,78.6677428,22.3511148
224,Thu Mar 05 17:50:06 +0000 2020, RT @ narendrapjoshi : @ DelhiPolice Legal action required @ HMOIndia,India,India,78.6677428,22.3511148
227,Thu Mar 05 17:50:27 +0000 2020, OMG OMG MY BABY DESERVES THIS SO HARD ... .IT 'S FANTASTIC ANGANCY ... HE 'S BAAAACK ! ! ! ! ! # Trampoline # BestRemix # iHeartAwards,India,India,78.6677428,22.3511148
228,Thu Mar 05 17:50:28 +0000 2020," RT @ BharatKumar1857 : No Indian affected # CAA . one country 's topmost lawyers , writes CAA . - Mr Harish Salve . https : //t.c…","Pune, India","Pune, Pune City, Pune District, Maharashtra, 411001, India",73.8544541,18.521428
229,Thu Mar 05 17:50:29 +0000 2020," State 's crackdown murderous mob & amp ; instigators due . Trrorists established victory @ DelhiPolice & amp ; state . If state saviours , hope . Acknowledge religious terror . Does n't matter terrorists r lakhs Crores . Solution comes w/ diagnosis .",Mumbai,"Mumbai, Mumbai City, Maharashtra, India",72.8353355,18.9387711
230,Thu Mar 05 17:50:34 +0000 2020, @ timesofindia even 's said CAA religious refugees muslims refugees bunch voters bought india TMC,"Bengaluru, India","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India",77.5912997,12.9791198
232,Thu Mar 05 17:50:39 +0000 2020, RT @ SirPareshRawal : This unfortunates refuse acknowledge CAA https : //t.co/DycaNrRxT4,Kolkata,"Kolkata, West Bengal, India",88.3567751581234,22.54541245
233,Thu Mar 05 17:50:43 +0000 2020," The thing separating journalist Rizwan Khan & amp ; 30 police trainees anti-CAA mob , rickety shop shutter . Then someone mob shouted , `` Bring oil . '' SPINE-CHILLING account Mr Khan captured @ haryannvi ground report . https : //t.co/uDR0bQ7Pwh","Bengaluru, India","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India",77.5912997,12.9791198
234,Thu Mar 05 17:50:48 +0000 2020," RT @ leo_mukherjee : # Politics , # ideology , lies behind decision # nitishkumar oppose # NRC . An edit . https : //t.co/hsESayKgf0","New Delhi, India","New Delhi, Delhi, India",77.2022662,28.6141793
235,Thu Mar 05 17:50:49 +0000 2020, @ JhaSanjay Why CAA required ? To correct blunder Nehru signed Nehru liaqat pact 1950 ! Get history lessons,Bangalore,"Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India",77.5912997,12.9791198
236,Thu Mar 05 17:50:53 +0000 2020, Delhi : Latest visuals Shaheen Bagh ; People continue protest # CitizenshipAmendmentAct NRC . Delhi… https : //t.co/sa7WJAzaYw,India,India,78.6677428,22.3511148
237,Thu Mar 05 17:50:53 +0000 2020, Time @ OpIndia_com take National Public Radio . They keep referring Indian govt Hindu Nationalistic Govt derogatory way . Also typical one sided story CAA full lies . @ Manchu__ @ brhadkunjara,Global,"Global, 81, Barber Greene Road, Don Mills, Don Valley East, North York, Toronto, Golden Horseshoe, Ontario, M3C 2C3, Canada",-79.34914879325001,43.7283874
238,Thu Mar 05 17:50:57 +0000 2020," RT @ the_hindu : Just | # Maharashtra chief minister # UddhavThackeray appoints cabinet sub-committee study # CAA , # NPR","Chennai, India","Chennai, Chennai district, Tamil Nadu, India",80.2838331,13.0801721
239,Thu Mar 05 17:51:00 +0000 2020, Shocking ! Jihadi outfit Al-Haq threatens kidnap 234 # TamilNadu MLAs CAA implemented state . So Jihadists going spare # DMK # AIADMK whatever appeasement try practice https : //t.co/25KdpgZudR,New Delhi,"New Delhi, Delhi, India",77.2022662,28.6141793
242,Thu Mar 05 17:51:03 +0000 2020, Many leaders making varied statements # CAA threatening implemented Maharashtra . We want discussion Legislative Assembly want know official stand State Government CAA @ Dev_Fadnavis https : //t.co/Hu5wOvQL1O,"Mumbai, India","Mumbai, Mumbai City, Maharashtra, India",72.8353355,18.9387711
243,Thu Mar 05 17:51:04 +0000 2020," Mr @ RahulGandhi seen innocent people , . Dont think planned murder","Mumbai, India","Mumbai, Mumbai City, Maharashtra, India",72.8353355,18.9387711
244,Thu Mar 05 17:51:06 +0000 2020, # ShaheenBaghEmpty thanks Arnab long time nearly two years started leading topics disc… https : //t.co/RX9JVnGFfE,"Lucknow, India","Lucknow, Sadar, Lucknow, Uttar Pradesh, 226019, India",80.9346001,26.8381
