Created At,Text,Location
Fri Mar 06 23:21:39 +0000 2020," There Islamist rhetoric dominated anti-CAA protests : @ The_NehaJoshi , Spokesperson , BJP tells Rahul Shivshankar INDIA UPFRONT . | # ShaheenBaghSurgeSOS https : //t.co/3vYbNznufW",India
Fri Mar 06 23:21:43 +0000 2020, The new India ... peaceful protesters criminalised people shouting murder & amp ; rape glorified ... @ UN_HRC… https : //t.co/pSENBu4Llj,India
Fri Mar 06 23:21:49 +0000 2020, RT @ DavidHenigUK : The Civil Aviation Authority opposed leaving EU Aviation Safety Agency - https : //t.co/MrPeI4kD7e https : //t.co/Kk6Vi7t…,
Fri Mar 06 23:21:54 +0000 2020, Breaking : Bidar court rejects sedition charge school accused anti CAA play . All granted bail.. good sense last compensate days spent parent/teacher jail ?,
Fri Mar 06 23:22:05 +0000 2020, CAA protest : Uttar Pradesh police resort ‘ scare ’ campaign https : //t.co/PteNyYoHFk,
Fri Mar 06 23:22:14 +0000 2020, The school turned # ShaheenBagh . Who compensate lives Ratan Lal Ankit Sharma ? https : //t.co/oQbJ21NURP,Cloud 9 Vegas
Fri Mar 06 23:22:26 +0000 2020," This top level , illegal harassment . The Courts UP take cognizance gross violations privacy rights . # doxxing https : //t.co/Hou3zsugEN",India
Fri Mar 06 23:22:27 +0000 2020, Thanks @ UN standing # ModiHitler destroying India # HindutvaTerrorists # RSS # Modi # CAA_NRC_Protests # CAA,Land of Hindu extremists-India
Fri Mar 06 23:22:34 +0000 2020," I 'm CAA Bcoz 👇 CAA communal , CAA anti-Constitution , CAA anti-Democratic , CAA anti-India . # UNRejectsCAA https : //t.co/xlhtdSAvZG",
Fri Mar 06 23:22:37 +0000 2020, RT @ JhaSanjay : This serious . @ INCIndia @ BBCWorld @ cnni @ nytimes @ washingtonpost,
Fri Mar 06 23:22:37 +0000 2020," We thank @ UN raised voice CAA , black law divides people India religious grounds . This step @ UN argument justice people world . We value justice humanitarian rights . # UNRejectsCAA","Bardoli, India"
Fri Mar 06 23:22:38 +0000 2020, RT @ billboard : CAA announced signing # Zayn https : //t.co/uZJs8YG3Xi,
Fri Mar 06 23:22:48 +0000 2020, Do n't fall trap rejecting United Nation 's stand CAA hurts ego Indian . India is… https : //t.co/gaNObe3nsc,"Kolkata, India"
Fri Mar 06 23:22:49 +0000 2020," How one write many words Hindu supremacism , RSS , BJP , CAA , Savarkar etc without even mentioning Partition arguably key part context CAA . You agree disagree ( ) Savarkar concede Partition proved point .",Bharat Mata Ki Jai
Fri Mar 06 23:22:49 +0000 2020," # CAA reduces waiting time unfortunate Hindus/Sikhs/ChristiansIt , clears pent citizenships till 2014 . Do even know 5 Million Hindus/Sikhs languish Pakistan ! Unlike , one Hindu/Sikh ready forsake religion.They need evacuation . https : //t.co/JEVnCvHauX",
Fri Mar 06 23:22:52 +0000 2020, RT @ DivyaSoti : # Yogiroxx : Anti CAA protestors occupying public park asked undertake ₹500000 bonds guaranteeing peace . https : //t.co/mvI…,
Fri Mar 06 23:22:55 +0000 2020, anti-CAA agitation exactly fast-tracking naturalization time-limited small portion girls families hv managed flee jihadi brethren agitator 's beloved mullah-infested lands . https : //t.co/O9mLCtoeEu,Cloud 9 Vegas
Fri Mar 06 23:23:00 +0000 2020, RT @ 1973aftab : # UNRejectsCAA CAA humanity @ UN @ UNHumanRights,"Bardoli, India"
Fri Mar 06 23:23:07 +0000 2020," The CAA , UNHRC reports , raises “ important human rights issues , including compatibility relation right equality law nondiscrimination nationality grounds India ’ human rights obligations ” . # UNRejectsCAA @ TheKarwaan @ UN @ UNinIndia","Bardoli, India"
Fri Mar 06 23:23:17 +0000 2020, Ok ! So begins RTI war . Billboards Lucknow Anti CAA protestors photo address dealt first . https : //t.co/QastXdiv1g,"Inhauna (Amethi), Lucknow"
Fri Mar 06 23:23:20 +0000 2020, The Supreme Court stayed Karnataka High Court order granting bail 21 PFI members accused indulging violence Mangaluru 19 December anti-CAA protests . https : //t.co/pSidsq9bZV,
Fri Mar 06 23:23:24 +0000 2020, I 'm glad 's signed caa,zquad
Fri Mar 06 23:23:33 +0000 2020," For first time India ’ judicial history , UN Human Rights ( UNHCHR ) — sought intervene amicus curiae assist Supreme Court adjudicating constitutional validity CAA . The UNHCHR said CAA “ worthy commendable objective ” . # UNRejectsCAA","Bardoli, India"
Fri Mar 06 23:23:49 +0000 2020, Nice work @ samirkalra @ HinduAmerican,"Fremont, California, USA"
Fri Mar 06 23:24:15 +0000 2020," This government bullied . CAA done . And every illegal shall thrown . Whatever price . Here 's glorious , jihad-free Bharat . 🇮🇳","ÜT: 12.887904,77.589603"
Fri Mar 06 23:24:29 +0000 2020," @ sweposten To support claim citizen birth , Jabeda submitted 15 documents including 1951 N… https : //t.co/hcUQFWmaN2",Sri Lankan
Fri Mar 06 23:24:32 +0000 2020," This precisely I , 2014 Private Members ' Bill , & amp ; @ INCIndia , 2019 manifesto , argued amending Sedition Law bring conformity SupremeCourt rulings restrict sedition incitement violence State . The law grossly misused","Dwarka, New Delhi"
Fri Mar 06 23:24:38 +0000 2020," @ soutikBBC @ ShekharGupta understand cab , nrc npr ? talk ignorance.. lea… https : //t.co/X5IsKWrz8C",UK!!
Fri Mar 06 23:24:54 +0000 2020," Big Breaking HM @ AmitShah , Gujarat CM @ vijayrupanibjp , 11 Others On The Radar Of PFI Terrorists . They Threatened To Kill Them . Dear HM , # HinduRashtra . Hindu Rashtra Is The Only Solution To Jihad . NRC , UCC , Abolition Of Minority Status , No Scholarships Exigency Of Time .",
Fri Mar 06 23:24:54 +0000 2020," @ KanchanGupta Dear Kanchan ji , I understand pain . I felt pained researching East Pakistan Genocide , went . The video tribute went harrowing days . https : //t.co/KvMViV4eeD",India
Fri Mar 06 23:25:02 +0000 2020, RT @ ianamurray : considering signed CAA think ’ gon na fine https : //t.co/FCaKwMc0yO,The City of Atlantis
Fri Mar 06 23:25:03 +0000 2020, Well said," Mumbai, India"
Fri Mar 06 23:25:18 +0000 2020," Genocide 1947-1950 Attacks Janmasthmi , Durga Pooja , 1000s killed . 50,000 displaced 7 hours Dhaka . Part 2 story East Pakistan Hindus . Took 7 decades # CAA give basic rights . Full video https : //t.co/vJj7bfg0OH # ISupportCAA_NRC # CAA_NRC_NPR https : //t.co/jV7h9veu4D",India
