Sentence,Polarity,Subjectivity
 RT @ proloynandy1 : Watch `` CAA Row : Pondicherry University Gold Medallist Denied Entry To Convocation Ceremony '' YouTube https : //t.co/EOgn8…,0.0,0.0
" Mslim men forcing , @ ting women go Anti CAA Protests & amp ; chant Anti-India slogans . But trust Yogi govt women refusing complaining police . https : //t.co/7grEQL4Upq",0.0,0.0
" Really , # UNHRC ? No court intervention agnst # China ( repression/torture Tibet & amp ; Xinjiang ) , # Iran ( torture/killings pol prisoners ) # Pakistan ( torture , genocide Balochistan ) U hv shame opposing # CAA humanitarian aid persecutd minorities ? Even hypocrisy limits",0.2,0.2
 RT @ antokannankt : Delhi Mob Burnt Down Home Of Soldier Who Served Country For 22 Years https : //t.co/InH7uo819o,-0.15555555555555559,0.2888888888888889
 RT @ kaaashif : Albany New York state unanimously passes resolution condemning India 's CAA . https : //t.co/l4PMFydCu5 https : //t.co/aJGbeWG…,0.13636363636363635,0.45454545454545453
 UN High Commissioner Human Rights Michelle Bachelet moving file intervention application Supreme Court Citizenship Amendment Act ( CAA ) . https : //t.co/s9p11No4dx,0.08,0.31999999999999995
" @ UN A brave move UN support Indian citizens stand CAA , hope tomorrow ’ humanity… https : //t.co/mUne76zxV5",0.8,1.0
" Just : Office UN Human Rights Commissioner ( OHCHR ) files intervention plea Supreme Court India CAA . Govt says hopes SC vindicate stand.. CAA internal matter , constitutionally valid : MEA",0.0,0.05
 # UNHRC world 's famous human rights body declared law discriminatory made move requesting permission intervention state matters . You still think n't biased law ? Think . https : //t.co/7HMttfalFj,0.25,0.55
 Pratap Bhanu Mehta first write street pressure must created influence judiciary CAA petitions someone wrote ? Hope happy 50 deaths Delhi thanks street pressure .,0.4166666666666667,0.5111111111111111
" Well , let ’ wait see . “ Advertising via privacy-invasive cookies day . Good old contextual advertisin… https : //t.co/UUPaeaWoyo",0.39999999999999997,0.4
" 2 killed , 10 injured , Internet banned , curfew anti-CAA protests faraway Meghalaya . Under NDA govt & amp ; BJP ’ favourite governor . No Muslims/Hindus/Congress/ ‘ urban naxals ’ blame . Time BJP woke fire ’ lit across India ...",-0.1,0.0
